id_measurement;latitude;longitude;id_ernte;fehlt;überreif;verkümmert;kein Kopf;faul;unreif;Gewicht
Hofmaenner_F_001.212;47.21788749;9.493297717;Hofmaenner_F_001.212;false;false;false;false;false;true;266
Hofmaenner_F_001.213;47.21788459;9.493295936;Hofmaenner_F_001.213;false;false;false;false;false;false;607
Hofmaenner_F_001.214;47.21788132;9.493294083;Hofmaenner_F_001.214;false;false;false;false;false;false;539
Hofmaenner_F_001.215;47.2178784;9.493292353;Hofmaenner_F_001.215;false;false;false;false;false;false;729
Hofmaenner_F_001.216;47.21787546;9.493290655;Hofmaenner_F_001.216;false;false;false;false;false;false;562
Hofmaenner_F_001.217;47.21787239;9.49328884;Hofmaenner_F_001.217;false;false;false;false;false;false;560
Hofmaenner_F_001.218;47.21786938;9.493287303;Hofmaenner_F_001.218;false;false;false;false;false;false;384
Hofmaenner_F_001.219;47.2178665;9.493285767;Hofmaenner_F_001.219;false;false;false;false;false;false;683
Hofmaenner_F_001.220;47.21786347;9.493283994;Hofmaenner_F_001.220;false;false;false;false;false;false;453
Hofmaenner_F_001.221;47.21786048;9.493282075;Hofmaenner_F_001.221;false;false;false;false;false;false;715
Hofmaenner_F_001.222;47.21785792;9.493280659;Hofmaenner_F_001.222;false;false;false;false;false;true;199
Hofmaenner_F_001.223;47.21785444;9.493278742;Hofmaenner_F_001.223;false;false;false;false;false;false;790
Hofmaenner_F_001.224;47.21785124;9.493276961;Hofmaenner_F_001.224;false;false;false;false;false;false;648
Hofmaenner_F_001.225;47.21784825;9.493275201;Hofmaenner_F_001.225;false;false;false;false;false;false;655
Hofmaenner_F_001.226;47.21784522;9.493273465;Hofmaenner_F_001.226;false;false;false;false;false;false;700
Hofmaenner_F_001.227;47.21784214;9.493271685;Hofmaenner_F_001.227;false;false;false;false;false;false;603
Hofmaenner_F_001.228;47.21783914;9.493270188;Hofmaenner_F_001.228;false;false;false;false;false;false;598
Hofmaenner_F_001.229;47.21783605;9.493268377;Hofmaenner_F_001.229;false;false;false;false;false;false;661
Hofmaenner_F_001.230;47.21783307;9.493266699;Hofmaenner_F_001.230;false;false;false;false;false;false;690
Hofmaenner_F_001.231;47.21783028;9.493264891;Hofmaenner_F_001.231;false;false;false;false;false;false;346
Hofmaenner_F_001.232;47.21782697;9.49326342;Hofmaenner_F_001.232;false;false;false;false;false;false;499
Hofmaenner_F_001.233;47.21782399;9.493261584;Hofmaenner_F_001.233;false;false;false;false;false;false;714
Hofmaenner_F_001.234;47.21782083;9.493259818;Hofmaenner_F_001.234;false;false;false;false;false;false;611
Hofmaenner_F_001.235;47.21781782;9.493258041;Hofmaenner_F_001.235;false;false;false;false;false;false;706
Hofmaenner_F_001.236;47.21781507;9.49325654;Hofmaenner_F_001.236;false;false;false;false;false;false;704
Hofmaenner_F_001.237;47.21780894;9.493252925;Hofmaenner_F_001.237;false;false;false;false;false;false;808
Hofmaenner_F_001.238;47.21780587;9.493251375;Hofmaenner_F_001.238;false;false;false;false;false;false;592
Hofmaenner_F_001.239;47.21780283;9.493249637;Hofmaenner_F_001.239;false;false;false;false;false;false;663
Hofmaenner_F_001.240;47.21780026;9.493248237;Hofmaenner_F_001.240;false;false;false;false;false;true;290
Hofmaenner_F_001.241;47.21779678;9.493246308;Hofmaenner_F_001.241;false;false;false;false;false;false;1090
Hofmaenner_F_001.242;47.2177935;9.49324425;Hofmaenner_F_001.242;false;false;true;false;false;false;nan
Hofmaenner_F_001.243;47.21779035;9.493242808;Hofmaenner_F_001.243;false;false;false;false;false;false;893
Hofmaenner_F_001.244;47.21778756;9.493241223;Hofmaenner_F_001.244;false;false;false;false;false;false;596
Hofmaenner_F_001.245;47.21778461;9.493239335;Hofmaenner_F_001.245;false;false;false;false;false;false;462
Hofmaenner_F_001.246;47.2177815;9.493237678;Hofmaenner_F_001.246;false;false;false;false;false;false;653
Hofmaenner_F_001.247;47.21777829;9.493235752;Hofmaenner_F_001.247;false;false;false;false;false;false;554
Hofmaenner_F_001.248;47.21777524;9.493234052;Hofmaenner_F_001.248;false;false;false;false;false;false;675
Hofmaenner_F_001.249;47.21777187;9.493232467;Hofmaenner_F_001.249;false;false;false;false;false;false;427
Hofmaenner_F_001.250;47.21776908;9.493230817;Hofmaenner_F_001.250;false;false;false;false;false;false;704
Hofmaenner_F_001.251;47.21776616;9.493228925;Hofmaenner_F_001.251;false;false;false;false;false;false;nan
Hofmaenner_F_001.252;47.21776274;9.493227199;Hofmaenner_F_001.252;false;false;false;false;false;false;nan
Hofmaenner_F_001.253;47.21775993;9.493225537;Hofmaenner_F_001.253;false;false;false;false;false;false;nan
Hofmaenner_F_001.254;47.21775671;9.493223887;Hofmaenner_F_001.254;false;false;false;false;false;false;nan
